model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,4733,1185,0.6489451476793249,0.6611039794608472,0.7721139430284858,0.7123098201936376,254,264,152,515,0.6742140512755206
Linear SVM,1,grouped_5_fold_cv,4733,1185,0.6506329113924051,0.6615581098339719,0.7766116941529235,0.7144827586206897,253,265,149,518,0.6741822139123488
RBF SVM,1,grouped_5_fold_cv,4733,1185,0.6565400843881857,0.6597051597051597,0.8050974512743628,0.725185685347738,241,277,130,537,0.6791951514590195
Random Forest,1,grouped_5_fold_cv,4733,1185,0.6556962025316456,0.6879535558780842,0.7106446776611695,0.6991150442477876,303,215,193,474,0.690111025568297
Logistic Regression,2,grouped_5_fold_cv,4735,1183,0.6559594251901945,0.6619537275064268,0.7814871016691958,0.7167710508002784,261,263,144,515,0.6947173024128624
Linear SVM,2,grouped_5_fold_cv,4735,1183,0.6551141166525782,0.6606914212548015,0.7830045523520486,0.7166666666666667,259,265,143,516,0.6945435485178793
RBF SVM,2,grouped_5_fold_cv,4735,1183,0.6601859678782755,0.6495925494761351,0.8467374810318664,0.7351778656126482,223,301,101,558,0.7028055462243279
Random Forest,2,grouped_5_fold_cv,4735,1183,0.6449704142011834,0.6685472496473907,0.7192716236722306,0.6929824561403509,289,235,185,474,0.691876426229888
Logistic Regression,3,grouped_5_fold_cv,4735,1183,0.6238377007607777,0.6332916145181476,0.7689969604863222,0.6945778997940975,232,293,152,506,0.6638529454334925
Linear SVM,3,grouped_5_fold_cv,4735,1183,0.6229923922231615,0.6321695760598504,0.770516717325228,0.6945205479452055,230,295,151,507,0.6635229410913301
RBF SVM,3,grouped_5_fold_cv,4735,1183,0.6238377007607777,0.6266349583828775,0.8009118541033434,0.7031354236157439,211,314,131,527,0.6698711825155594
Random Forest,3,grouped_5_fold_cv,4735,1183,0.6306001690617076,0.6448230668414154,0.7477203647416414,0.6924700914848698,254,271,166,492,0.6766102185555072
Logistic Regression,4,grouped_5_fold_cv,4735,1183,0.6407438715131023,0.6461916461916462,0.7933634992458521,0.7122545700744752,232,288,137,526,0.6684447151641723
Linear SVM,4,grouped_5_fold_cv,4735,1183,0.6398985629754861,0.6446886446886447,0.7963800904977375,0.7125506072874493,229,291,135,528,0.6690306300034807
RBF SVM,4,grouped_5_fold_cv,4735,1183,0.6365173288250211,0.6346820809248555,0.8280542986425339,0.7185863874345549,204,316,114,549,0.6877915071353985
Random Forest,4,grouped_5_fold_cv,4735,1183,0.6483516483516484,0.6635761589403973,0.755656108597285,0.7066290550070522,266,254,162,501,0.693846443903005
Logistic Regression,5,grouped_5_fold_cv,4734,1184,0.6131756756756757,0.6316440049443758,0.7615499254843517,0.6905405405405406,215,298,160,511,0.6417671102744442
Linear SVM,5,grouped_5_fold_cv,4734,1184,0.6173986486486487,0.6342364532019704,0.767511177347243,0.6945380984490896,216,297,156,515,0.6416828625629316
RBF SVM,5,grouped_5_fold_cv,4734,1184,0.6224662162162162,0.6330166270783848,0.7943368107302533,0.7045604758757436,204,309,138,533,0.6734471548966804
Random Forest,5,grouped_5_fold_cv,4734,1184,0.6309121621621622,0.6555851063829787,0.7347242921013413,0.6929023190442727,254,259,178,493,0.6653826153394746
