model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,16000,4000,0.9725,0.9787234042553191,0.966,0.9723200805234021,1958,42,68,1932,0.9939385000000002
Linear SVM,1,grouped_5_fold_cv,16000,4000,0.97275,0.9806812404677173,0.9645,0.9725233173682883,1962,38,71,1929,0.9938935
Random Forest,1,grouped_5_fold_cv,16000,4000,0.97825,0.9789684526790186,0.9775,0.9782336752564423,1958,42,45,1955,0.995555375
Logistic Regression,2,grouped_5_fold_cv,16000,4000,0.96775,0.9765664798777381,0.9585,0.967448902346707,1954,46,83,1917,0.9937222499999999
Linear SVM,2,grouped_5_fold_cv,16000,4000,0.9685,0.9770875763747454,0.9595,0.9682139253279516,1955,45,81,1919,0.9931145
Random Forest,2,grouped_5_fold_cv,16000,4000,0.97225,0.9739086803813347,0.9705,0.9722013523666416,1948,52,59,1941,0.994306625
Logistic Regression,3,grouped_5_fold_cv,16000,4000,0.97425,0.9797673242286292,0.9685,0.9741010812169978,1960,40,63,1937,0.9953312500000001
Linear SVM,3,grouped_5_fold_cv,16000,4000,0.97325,0.979240506329114,0.967,0.9730817610062893,1959,41,66,1934,0.994701
Random Forest,3,grouped_5_fold_cv,16000,4000,0.97575,0.9774209734069242,0.974,0.9757074881041823,1955,45,52,1948,0.995876375
Logistic Regression,4,grouped_5_fold_cv,16000,4000,0.97125,0.9733802109492717,0.969,0.9711851666249061,1947,53,62,1938,0.9932672499999999
Linear SVM,4,grouped_5_fold_cv,16000,4000,0.97075,0.9743073047858942,0.967,0.9706398996235884,1949,51,66,1934,0.99291075
Random Forest,4,grouped_5_fold_cv,16000,4000,0.97425,0.970252850768468,0.9785,0.9743589743589743,1940,60,43,1957,0.992226125
Logistic Regression,5,grouped_5_fold_cv,16000,4000,0.96775,0.9727134916624558,0.9625,0.9675797939180699,1946,54,75,1925,0.99256675
Linear SVM,5,grouped_5_fold_cv,16000,4000,0.9675,0.9726996966632963,0.962,0.9673202614379085,1946,54,76,1924,0.9925900000000001
Random Forest,5,grouped_5_fold_cv,16000,4000,0.97225,0.9692001987083955,0.9755,0.9723398953401445,1938,62,49,1951,0.994343125
