model,fold,evaluation,train_rows,test_rows,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,roc_auc
Logistic Regression,1,grouped_5_fold_cv,16000,4000,0.907,0.9226375908618899,0.8885,0.9052470708099847,1851,149,223,1777,0.9646082500000002
Linear SVM,1,grouped_5_fold_cv,16000,4000,0.902,0.9213836477987422,0.879,0.8996929375639714,1850,150,242,1758,0.9618052500000001
Random Forest,1,grouped_5_fold_cv,16000,4000,0.931,0.9292828685258964,0.933,0.9311377245508982,1858,142,134,1866,0.97156925
Logistic Regression,2,grouped_5_fold_cv,16000,4000,0.9125,0.9248197734294542,0.898,0.9112125824454591,1854,146,204,1796,0.96250075
Linear SVM,2,grouped_5_fold_cv,16000,4000,0.909,0.9269311064718163,0.888,0.9070480081716037,1860,140,224,1776,0.960736
Random Forest,2,grouped_5_fold_cv,16000,4000,0.92575,0.9285354806240563,0.9225,0.9255079006772009,1858,142,155,1845,0.9698852500000001
Logistic Regression,3,grouped_5_fold_cv,16000,4000,0.906,0.9255765199161425,0.883,0.9037871033776868,1858,142,234,1766,0.9658292500000001
Linear SVM,3,grouped_5_fold_cv,16000,4000,0.90275,0.9264160931709899,0.875,0.8999742864489586,1861,139,250,1750,0.96239925
Random Forest,3,grouped_5_fold_cv,16000,4000,0.92625,0.9247633283507724,0.928,0.9263788370351884,1849,151,144,1856,0.97211625
Logistic Regression,4,grouped_5_fold_cv,16000,4000,0.90775,0.924960917144346,0.8875,0.9058433273794335,1856,144,225,1775,0.9630299999999999
Linear SVM,4,grouped_5_fold_cv,16000,4000,0.906,0.9291754756871036,0.879,0.9033915724563206,1866,134,242,1758,0.9606445
Random Forest,4,grouped_5_fold_cv,16000,4000,0.92975,0.9303955933900852,0.929,0.929697272954716,1861,139,142,1858,0.9693722499999999
Logistic Regression,5,grouped_5_fold_cv,16000,4000,0.91125,0.9168778509883426,0.9045,0.910646866347848,1836,164,191,1809,0.9637978750000001
Linear SVM,5,grouped_5_fold_cv,16000,4000,0.908,0.9180327868852459,0.896,0.9068825910931174,1840,160,208,1792,0.9628717500000001
Random Forest,5,grouped_5_fold_cv,16000,4000,0.925,0.9170755642787046,0.9345,0.9257057949479941,1831,169,131,1869,0.9725688750000001
